A2WC012E v68 AF Correction 16-bit RAM literal trace
target float: 0xFFFFB538
target mirror: 0xFFFFB330

16-bit sign-extended refs in FFFFB000-FFFFB8FF: 1843
pc=0x01641A op=9323 literal=0x016464 word=B04C value=0xFFFFB04C -> r3
pc=0x016422 op=9120 literal=0x016466 word=B050 value=0xFFFFB050 -> r1
pc=0x0164EC op=9353 literal=0x016596 word=B04C value=0xFFFFB04C -> r3
pc=0x0164F0 op=9252 literal=0x016598 word=B050 value=0xFFFFB050 -> r2
pc=0x016694 op=9322 literal=0x0166DC word=B04C value=0xFFFFB04C -> r3
pc=0x0166A4 op=911B literal=0x0166DE word=B050 value=0xFFFFB050 -> r1
pc=0x016814 op=9232 literal=0x01687C word=B04C value=0xFFFFB04C -> r2
pc=0x016ADC op=9340 literal=0x016B60 word=B000 value=0xFFFFB000 -> r3
pc=0x016B0C op=9229 literal=0x016B62 word=B004 value=0xFFFFB004 -> r2
pc=0x016EE2 op=906D literal=0x016FC0 word=B018 value=0xFFFFB018 -> r0
pc=0x016F00 op=915F literal=0x016FC2 word=B090 value=0xFFFFB090 -> r1
pc=0x01701E op=947A literal=0x017116 word=B068 value=0xFFFFB068 -> r4
pc=0x017020 op=957A literal=0x017118 word=B018 value=0xFFFFB018 -> r5
pc=0x017028 op=9177 literal=0x01711A word=B040 value=0xFFFFB040 -> r1
pc=0x017050 op=9264 literal=0x01711C word=B01C value=0xFFFFB01C -> r2
pc=0x01705C op=925F literal=0x01711E word=B044 value=0xFFFFB044 -> r2
pc=0x017064 op=935D literal=0x017122 word=B04C value=0xFFFFB04C -> r3
pc=0x01706C op=905B literal=0x017126 word=B050 value=0xFFFFB050 -> r0
pc=0x0170B8 op=9233 literal=0x017122 word=B04C value=0xFFFFB04C -> r2
pc=0x0170C4 op=932D literal=0x017122 word=B04C value=0xFFFFB04C -> r3
pc=0x0170CE op=912A literal=0x017126 word=B050 value=0xFFFFB050 -> r1
pc=0x0170D8 op=9225 literal=0x017126 word=B050 value=0xFFFFB050 -> r2
pc=0x01715C op=9167 literal=0x01722E word=B01C value=0xFFFFB01C -> r1
pc=0x017166 op=9262 literal=0x01722E word=B01C value=0xFFFFB01C -> r2
pc=0x017186 op=9255 literal=0x017234 word=B020 value=0xFFFFB020 -> r2
pc=0x0171A0 op=9549 literal=0x017236 word=B024 value=0xFFFFB024 -> r5
pc=0x0171B2 op=933F literal=0x017234 word=B020 value=0xFFFFB020 -> r3
pc=0x0171C8 op=9636 literal=0x017238 word=B02C value=0xFFFFB02C -> r6
pc=0x0171E4 op=9427 literal=0x017236 word=B024 value=0xFFFFB024 -> r4
pc=0x0171E8 op=9327 literal=0x01723A word=B028 value=0xFFFFB028 -> r3
pc=0x0171FE op=921D literal=0x01723C word=B218 value=0xFFFFB218 -> r2
pc=0x01720A op=9E18 literal=0x01723E word=B03C value=0xFFFFB03C -> r14
pc=0x01720C op=9113 literal=0x017236 word=B024 value=0xFFFFB024 -> r1
pc=0x01721C op=9210 literal=0x017240 word=B038 value=0xFFFFB038 -> r2
pc=0x01729C op=9E77 literal=0x01738E word=B024 value=0xFFFFB024 -> r14
pc=0x0172B0 op=946E literal=0x017390 word=B068 value=0xFFFFB068 -> r4
pc=0x017322 op=9035 literal=0x017390 word=B068 value=0xFFFFB068 -> r0
pc=0x0173FC op=9652 literal=0x0174A4 word=B018 value=0xFFFFB018 -> r6
pc=0x01745C op=9423 literal=0x0174A6 word=B040 value=0xFFFFB040 -> r4
pc=0x0174C0 op=9375 literal=0x0175AE word=B054 value=0xFFFFB054 -> r3
pc=0x017528 op=9342 literal=0x0175B0 word=B058 value=0xFFFFB058 -> r3
pc=0x017536 op=923B literal=0x0175B0 word=B058 value=0xFFFFB058 -> r2
pc=0x017554 op=922D literal=0x0175B2 word=B05C value=0xFFFFB05C -> r2
pc=0x017564 op=9224 literal=0x0175B0 word=B058 value=0xFFFFB058 -> r2
pc=0x01756C op=9121 literal=0x0175B2 word=B05C value=0xFFFFB05C -> r1
pc=0x017576 op=941D literal=0x0175B4 word=B064 value=0xFFFFB064 -> r4
pc=0x017582 op=9515 literal=0x0175B0 word=B058 value=0xFFFFB058 -> r5
pc=0x017584 op=9317 literal=0x0175B6 word=B060 value=0xFFFFB060 -> r3
pc=0x017598 op=910E literal=0x0175B8 word=B020 value=0xFFFFB020 -> r1
pc=0x0175A2 op=940A literal=0x0175BA word=B068 value=0xFFFFB068 -> r4
pc=0x017600 op=9131 literal=0x017666 word=B044 value=0xFFFFB044 -> r1
pc=0x01760A op=922C literal=0x017666 word=B044 value=0xFFFFB044 -> r2
pc=0x017624 op=9321 literal=0x01766A word=B048 value=0xFFFFB048 -> r3
pc=0x01762C op=901E literal=0x01766C word=B018 value=0xFFFFB018 -> r0
pc=0x01763A op=9017 literal=0x01766C word=B018 value=0xFFFFB018 -> r0
pc=0x017652 op=900C literal=0x01766E word=B068 value=0xFFFFB068 -> r0
pc=0x01768C op=950E literal=0x0176AC word=B088 value=0xFFFFB088 -> r5
pc=0x017694 op=960B literal=0x0176AE word=B08C value=0xFFFFB08C -> r6
pc=0x0176D0 op=957D literal=0x0177CE word=B1E6 value=0xFFFFB1E6 -> r5
pc=0x0176D2 op=907B literal=0x0177CC word=B1F9 value=0xFFFFB1F9 -> r0
pc=0x017728 op=9253 literal=0x0177D2 word=B094 value=0xFFFFB094 -> r2
pc=0x017778 op=952D literal=0x0177D6 word=B090 value=0xFFFFB090 -> r5
pc=0x017780 op=9025 literal=0x0177CE word=B1E6 value=0xFFFFB1E6 -> r0
pc=0x0177F8 op=9217 literal=0x01782A word=B094 value=0xFFFFB094 -> r2
pc=0x0177FC op=9116 literal=0x01782C word=B090 value=0xFFFFB090 -> r1
pc=0x017854 op=944C literal=0x0178F0 word=B09C value=0xFFFFB09C -> r4
pc=0x017864 op=9645 literal=0x0178F2 word=B0A0 value=0xFFFFB0A0 -> r6
pc=0x0178B0 op=9320 literal=0x0178F4 word=B0A4 value=0xFFFFB0A4 -> r3
pc=0x0178BA op=931B literal=0x0178F4 word=B0A4 value=0xFFFFB0A4 -> r3
pc=0x0178D0 op=910F literal=0x0178F2 word=B0A0 value=0xFFFFB0A0 -> r1
pc=0x0178D6 op=930B literal=0x0178F0 word=B09C value=0xFFFFB09C -> r3
pc=0x0178E8 op=9204 literal=0x0178F4 word=B0A4 value=0xFFFFB0A4 -> r2
pc=0x017948 op=9473 literal=0x017A32 word=B0B4 value=0xFFFFB0B4 -> r4
pc=0x017988 op=9555 literal=0x017A36 word=B0AC value=0xFFFFB0AC -> r5
pc=0x0179B4 op=9140 literal=0x017A38 word=B0B0 value=0xFFFFB0B0 -> r1
pc=0x0179BC op=923C literal=0x017A38 word=B0B0 value=0xFFFFB0B0 -> r2
