offset;ECT_C;RPM_old;RPM_new;raw_old;raw_new
0x57b40;80.0;1024.0234375;2000.0;5243;10240
0x57b42;90.0;1024.0234375;2000.0;5243;10240
0x57b44;100.0;1024.0234375;2000.0;5243;10240
0x57b46;110.0;1024.0234375;2000.0;5243;10240
