RPM;MAP_abs_bar;offset;VE_old;factor;VE_new
500;0.3999672;0x69ea8;127.68;0.95;121.3
500;0.5332896;0x69eaa;161.42;0.82;132.36
500;0.666612;0x69eac;175.65;0.62;108.9
500;0.7999344;0x69eae;176.94;0.58;102.63
500;0.9332568;0x69eb0;178.43;0.6;107.06
