RPM;MAP_abs_bar;offset;VE_old;factor;VE_new
500;0.2666448;0x69ea6;123.12;0.9;110.81
500;0.3999672;0x69ea8;121.3;0.88;106.74
500;0.5332896;0x69eaa;132.36;0.9;119.12
800;0.2666448;0x69ed6;131.78;0.92;121.24
800;0.3999672;0x69ed8;134.34;0.9;120.91
800;0.5332896;0x69eda;161.2;0.94;151.53
